agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Research and Development; Waste Management; Water Resources - Other,26,B3.6,10,A9 + B3.6,9,B3.15 + B3.6,2,B1.3,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Renewable Energy Production - Energy Storage; Research and Development; Surface Transportation - Other,26,A9 + B3.6 + B5.1 + B5.23,13,A11 + A9,2,A9 + B3.6,1,B5.1,1,action_type: Operate/Maintain Existing → A9 + B3.6 + B5.1 + B5.23
DOE,Energy Production and Management; Water and Waste Management,Renewable Energy Production - Biomass; Waste Management,26,B5.1,14,B1.15 + B5.1,2,A1 + A9 + B5.1,2,A1 + B1.15 + B2.2 + B5.22,1,action_type: Operate/Maintain Existing → B5.1
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Water Resources - Other,25,Energy Policy Act 2005 Sec.390 Cat.1,7,516 DM 11.9,5,Energy Policy Act 2005 Sec.390,4,516 DM 6,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Transportation and Infrastructure; Water and Waste Management,"Broadband; Utilities (electricity, gas, telecommunications); Waste Management",25,516 DM 11.9,13,516 DM 2.3A,2,516 DM 11.9 E,2,"None, None",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Waste Management",25,516 DM 11.9,12,516 DM 11.9 E,4,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",2,"BLM CX E. Realty, 12, Grants of right-of-way wholl",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Waste Management,25,516 DM 2,11,516 DM 11.9,9,43 CFR 46.210,2,"43 Code of Federal Regulations (CFR) 46.210(e), No",2,action_type: Operate/Maintain Existing → 516 DM 2
BLM,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Mining - Non-Metallic Minerals,25,Energy Policy Act 2005 Sec.390 Cat.3,16,516 DM 11,5,Energy Policy Act 2005 Sec.390,2,516 DM 11.9,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Aviation - Airports and Air Traffic; Public and Recreational Land Use,25,516 DM 11.9,11,43 CFR 46.210,5,516 DM 2,4,516 DM 11.5,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Surface Transportation - Other; Water Resources - Irrigation and Water Supply,25,516 DM 11.9,18,43 CFR 46.210,1,516 DM,1,516 DM 11.9 A,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Waste Management; Water Resources - Other,25,516 DM 11.9,6,Energy Policy Act 2005 Sec.390,6,Energy Policy Act 2005 Sec.390(b)(3),6,Energy Policy Act 2005 Sec.390 Cat.3,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Other; Utilities (electricity, gas, telecommunications); Waste Management",25,B1.3,6,B2.5,3,B1.23,2,B1.31,2,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Urban; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",25,B5.1,4,A9 + B2.5 + B5.1,2,B1.15 + B1.24,2,B2.5 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Renewable Energy Production - Solar; Waste Management,25,B5.1,7,A9 + B5.1,6,B3.6 + B5.1,3,A11 + A9 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Waste Management; Water Resources - Other,25,B1.3,8,A8 + B5.12,4,B5.12,3,B6.1,1,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Renewable Energy Production - Energy Storage; Research and Development; Surface Transportation - Other; Waste Management,25,A9 + B3.6 + B5.1 + B5.23,9,B3.6,4,B5.1,3,A11 + A9 + B3.11 + B3.6 + B5.1 + B5.16 + B5.23,2,action_type: Operate/Maintain Existing → A9 + B3.6 + B5.1 + B5.23
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Electricity Transmission; Manufacturing; Research and Development,25,B3.6,6,A9 + B3.6,5,B3.6 + B5.1,2,A9 + B3.15 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Research and Development; Surface Transportation - Other,25,A11 + A9,6,B3.6,5,A9,4,A9 + B3.6,2,action_type: Operate/Maintain Existing → A11 + A9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Renewable Energy Production - Other; Research and Development,25,B3.6,8,A9 + B3.6,4,A9,2,A11 + A9,2,action_type: Operate/Maintain Existing → B3.6
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Vegetation and Fuels Management; Waste Management,24,516 DM 11.9,13,section 40806 of the Infrastructure Investment and,2,516 DM 11.9 A,2,516 DM 11.10 C,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)",24,516 DM 11.9,17,516 DM 11.9 E,3,516 DM 11.9.E,1,516 DM 2,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management",24,516 DM 11.9,13,516 DM 11.9 E,5,516 DM,2,516 DM 11.9 E.13,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,Agriculture; Pipelines; Water Resources - Irrigation and Water Supply,24,516 DM 11.9,11,516 DM 11.9 E,5,516 DM,2,"H-1790, Appendix 4(E.12), Grants of right-of-way w",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Electricity Transmission; Public and Recreational Land Use; Utilities (electricity, gas, telecommunications)",24,516 DM 11.9,16,516 DM 2,3,516 DM 2.3A,1,516 DM 11.9. A,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Materials and Manufacturing,Land Development - Other; Mining - Non-Metallic Minerals,24,516 DM 11.9,7,43 CFR 46.210,3,516 DM 11.9 A,3,516 DM 11.9 F,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management; Waste Management",24,B1.3,17,B1.19 + B1.3 + B1.4 + B1.7 + B1.9,1,B.4.13,1,B4.11 + B4.12 + B4.9,1,action_type: Operate/Maintain Existing → B1.3
DOE,"Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies",Land Development - Other; Military and Defense; Nuclear Technology,24,B1.15,10,B1.3,5,B1.11,3,B1.2,1,action_type: Operate/Maintain Existing → B1.15
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Mining - Metals; Research and Development; Waste Management,24,A9 + B3.6,8,B3.6,7,A11 + A9 + B3.6,2,A9 + B3.11 + B3.6,2,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Electricity Transmission; Nuclear Technology; Utilities (electricity, gas, telecommunications)",24,B1.3,14,B4.11,2,B1.24 + B4.11 + B4.12,1,B2.5,1,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Electricity Transmission; Research and Development,24,B3.1,6,A9,3,A9 + B3.1,2,A1 + A11 + A9 + B3.6,2,action_type: Operate/Maintain Existing → B3.1
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Pipelines; Vegetation and Fuels Management,23,Energy Policy Act 2005 Sec.390,13,516 DM 11.9,3,516 DM 11.9 E,2,516 DM 11.9. D,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Rangeland Management; Vegetation and Fuels Management; Water Resources - Other,23,516 DM 11.9,12,516 DM 1.13,2,516 DM 11.9 I.1,2,516 DM 11.9 B,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Rangeland Management; Threatened and Endangered Species Management,23,516 DM 11.9,11,516 DM 2 A,3,516 DM 11.9 A,2,516 DM 11.9.J,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Land Use or Forest Management Plan; Pipelines,23,516 DM 11.9,10,Energy Policy Act 2005 Sec.390(b)(4),7,Energy Policy Act 2005 Sec.390 Cat.3,2,"CXAP4 E12, BLM - Realty Grants of right-of-way who",1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Aviation - Airports and Air Traffic; Public and Recreational Land Use; Waste Management,23,516 DM 11.9,16,516 DM 2,3,516 DM 11.9 E,3,516 DM 11.9 H,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Rangeland Management; Vegetation and Fuels Management,23,FLPMA 402(h),17,43 CFR 46.210,3,516 DM 11.9,2,516 DM 2,1,action_type: Operate/Maintain Existing → FLPMA 402(h)
BLM,Environmental Policy and Regulation; Land Development and Urban Planning; Water and Waste Management,"Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Water Resources - Other",23,516 DM,8,43 CFR 46.210,3,516 DM 11,3,516 DM 11.9,3,action_type: Operate/Maintain Existing → 516 DM
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Pipelines; Waste Management; Water Resources - Other,23,Energy Policy Act 2005 Sec.390 Cat.3,15,Energy Policy Act 2005 Sec.390(b)(3),4,Energy Policy Act 2005 Sec.390(b)(2),1,516 DM 11.9E,1,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Land Development and Urban Planning; Transportation and Infrastructure,Electricity Transmission; Land Development - Other,23,B1.3,9,B4.6,5,B4.13,3,B1.24,2,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Energy Storage; Renewable Energy Production - Solar; Research and Development; Waste Management,23,A9 + B3.6,9,A9 + B3.6 + B5.15,5,B3.6,3,A9,2,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Carbon Capture and Sequestration; Conventional Energy Production - Coal; Research and Development,23,B3.6,7,A1 + A9 + B3.6,5,A11 + A9,3,A9,2,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Water and Waste Management,Renewable Energy Production - Geothermal; Waste Management; Water Resources - Other,23,B5.1,11,B5.19,2,A9 + B1.31 + B5.1,2,B2.1 + B5.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Coal; Renewable Energy Production - Biomass; Research and Development; Waste Management,23,B3.6,14,A1 + A11 + A9 + B3.6,3,A9,2,A11 + A9 + B3.11 + B3.6,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Nuclear; Nuclear Technology; Research and Development; Waste Management; Water Resources - Other,23,B3.6,16,B3.1,2,B 3.6,2,B3.1 + B3.6,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Geothermal; Research and Development; Waste Management; Water Resources - Other,23,A9 + B3.1,4,B5.1,3,A9 + B3.1 + B5.12,2,A9 + B3.11 + B3.7,2,action_type: Operate/Maintain Existing → A9 + B3.1
BLM,Miscellaneous and Emerging Technologies; Water and Waste Management,Research and Development; Water Resources - Other,22,516 DM 11.9,10,516 DM 2,8,516 DM 11.5,2,43 CFR 46.210,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Ecosystem Management and Restoration; Public and Recreational Land Use,22,516 DM 11.9,7,516 DM 2,4,516 DM 11.9 H,3,516 DM 11.9 J,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Transportation and Infrastructure,"Electricity Transmission; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",22,516 DM 11.9,6,516 DM 2,3,516 DM 11.5 E,3,516 DM 11.9 E,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Water and Waste Management,Land Use or Forest Management Plan; Renewable Energy Production - Biomass; Vegetation and Fuels Management; Waste Management,22,516 DM 11.9,12,43 CFR 46.210,8,516 DM 11.5 C,2,,0,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Routine Maintenance; Utilities (electricity, gas, telecommunications); Waste Management",22,B1.3,16,B1.3 + B2.5,1,B1.3 + B5.4,1,B1.3 + B1.4,1,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management,Research and Development; Semiconductors,22,B3.6,14,A9 + B3.6,6,B3.15 + B3.6,1,A1 + A11 + A9 + B3.6,1,action_type: Operate/Maintain Existing → B3.6
DOE,Transportation and Infrastructure,"Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",22,B5.23,7,B1.3,4,B5.1,3,B1.32 + B5.1,2,action_type: Operate/Maintain Existing → B5.23
DOE,Land Development and Urban Planning; Water and Waste Management,Land Development - Urban; Waste Management,22,B1.23,5,B1.15,3,B1.3,2,B1.24,2,action_type: Operate/Maintain Existing → B1.23
DOE,Transportation and Infrastructure,Electricity Transmission; Surface Transportation - Other,22,B1.3,16,B1.3 + B4.6,2,B4.13,1,B1.13 + B1.3,1,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies,Land Development - Other; Nuclear Technology,22,B1.15,9,B1.3,9,B2.5,2,B1.22,2,action_type: Operate/Maintain Existing → B1.15
DOE,"Land Development and Urban Planning; Military, Defense, and Emergency Response",Land Development - Other; Military and Defense,22,B1.15,5,B1.3,4,B1.2,3,B1.24,3,action_type: Operate/Maintain Existing → B1.15
DOE,Transportation and Infrastructure,Surface Transportation - Public Transportation,22,A1,6,A7,3,A7 + B5.1,3,A1 + B5.1,2,action_type: Operate/Maintain Existing → A1
DOE,Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Waste Management; Water Resources - Other,22,B4.6,8,B1.3,5,B3.1,2,B1.13 + B1.3,2,action_type: Operate/Maintain Existing → B4.6
DOE,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Waste Management,22,B1.3,8,B5.2 + B5.4,4,B2.5 + B5.2 + B5.4 + B5.5,2,A8 + B5.12,1,action_type: Operate/Maintain Existing → B1.3
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Other; Land Development - Other; Utilities (electricity, gas, telecommunications)",21,516 DM 11.9,7,516 DM 11,3,516 DM 11.5,2,516 DM 11.9 A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Land-based Oil & Gas; Research and Development,21,516 DM 11.9,8,43 CFR 46.210,6,516 DM 2,2,516 DM 11.9 B,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,Land Use or Forest Management Plan; Surface Transportation - Other; Vegetation and Fuels Management,21,516 DM 11.9.E,8,516 DM 11.9 E,5,516 DM 11.9,4,516 DM 11.9.E.16,2,action_type: Operate/Maintain Existing → 516 DM 11.9.E
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Agriculture; Land Use or Forest Management Plan; Water Resources - Irrigation and Water Supply,21,516 DM 11.9,15,516 DM 11.9 E,2,516 DM,1,516 DM 11.9 A,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Housing; Public and Recreational Land Use; Surface Transportation - Other,21,516 DM 11.9,10,"DOI Departmental Manual Part 516 Chapter 11.9, E.1",4,516 DM 2,4,516 DM,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Surface Transportation - Other; Water Resources - Other,21,516 DM 11.9,8,43 CFR 46.210,4,516 DM 2,3,Chapter 11 of the Department of Interior's Manual ,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Broadband; Routine Maintenance; Utilities (electricity, gas, telecommunications)",21,516 DM 11.9,15,"516 Departmental Manual 11.9 E(9), Renewals and as",1,516 DM,1,516 DM 11,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning,Land Use or Forest Management Plan; Public and Recreational Land Use; Rangeland Management,21,516 DM 11.9,8,516 DM 2,5,516 DM,3,516 DM 11.9 H,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Materials and Manufacturing,Ecosystem Management and Restoration; Mining - Non-Metallic Minerals; Vegetation and Fuels Management,21,516 DM 11.9,9,516 DM 2,5,"None, Extraction of approximately 50,000 cubic yar",2,516 DM 11.5 F,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Ecosystem Management and Restoration; Rangeland Management,21,516 DM 11.9,10,"Part 516 Chapter 11.9, 11.9 Actions Eligible for a",3,H-1790-1-National Environmental Policy Act Handboo,2,516 DM 11.9. A,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,"Manufacturing; Renewable Energy Production - Wind, Onshore; Research and Development; Waste Management",21,A9 + B3.6,8,B5.18,5,A9 + B3.15 + B3.6,1,A9 + B5.1,1,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,"Renewable Energy Production - Wind, Offshore; Research and Development; Waste Management",21,A9,9,A9 + B3.6,5,B3.6 + B5.25,2,B5.25,2,action_type: Operate/Maintain Existing → A9
DOE,Energy Production and Management; Materials and Manufacturing; Water and Waste Management,Manufacturing; Renewable Energy Production - Solar; Waste Management,21,B5.1,15,A9 + B5.1,3,A9 + B1.31 + B5.16,1,A1 + A2 + A9 + B1.31 + B5.1,1,action_type: Operate/Maintain Existing → B5.1
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Manufacturing; Research and Development; Waste Management,21,B3.6,10,A11 + A9 + B3.6,4,A11 + A9 + B3.11 + B3.6 + B3.7 + B3.9,1,A11 + A9 + B2.2 + B3.1,1,action_type: Operate/Maintain Existing → B3.6
DOE,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Waste Management,21,B6.1,9,B3.1,6,B1.23,2,B6.9,1,action_type: Operate/Maintain Existing → B6.1
DOE,Materials and Manufacturing; Water and Waste Management,Manufacturing; Waste Management; Water Resources - Other,21,B1.3,8,B1.31,4,B3.6,2,B5.1,2,action_type: Operate/Maintain Existing → B1.3
DOE,Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Urban; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",21,A11 + A9 + B5.1,7,A11 + A9 + B2.5 + B5.1,4,A1 + A11 + A9 + B2.5 + B5.1,3,A9 + B2.5 + B5.1,2,action_type: Operate/Maintain Existing → A11 + A9 + B5.1
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Surface Transportation - Other; Water Resources - Other,20,516 DM 11.9,10,516 DM 11.9 I,3,43 CFR 46.210,2,516 DM 11,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Land Development - Other; Routine Maintenance; Utilities (electricity, gas, telecommunications)",20,516 DM 11.9,11,516 DM 11.9.E,2,516 DM 11.9 B,1,"None, CXAP4 E9
BLM - Realty
Renewals and assignmen",1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Transportation and Infrastructure,"Pipelines; Utilities (electricity, gas, telecommunications)",20,516 DM 11.9,10,516 DM 11.9 E,2,516 DM 2,1,516 DM 6,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Energy Production and Management; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Waste Management,20,516 DM 11.9,9,Energy Policy Act 2005 Sec.390 Cat.2,3,Energy Policy Act 2005 Sec.390(b)(1),2,Energy Policy Act 2005 Sec.390,2,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Waste Management; Water Resources - Other,20,516 DM 11.9,12,43 CFR 46.210,5,516 DM 11.9 D,1,516 DM 2,1,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,Land Use or Forest Management Plan; Pipelines; Water Resources - Irrigation and Water Supply,20,516 DM 11.9,8,516 DM 11.9 E,3,516 DM 11.9 A,3,516 DM 11.9.E,2,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Agriculture and Natural Resource Management; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Electricity Transmission; Water Resources - Other,20,B1.3,9,B1.33,3,"10 CFR Part 1021, Subpart D, B1.3 Routine maintena",2,B4.6,2,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies,Land Development - Other; Research and Development,20,B3.6,7,B1.31,2,B1.24,2,516 DM 11.9,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Renewable Energy Production - Solar; Research and Development,20,A9 + B3.6,5,B3.6,4,A9,3,A11 + A9,3,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; Land Development - Other; Renewable Energy Production - Solar; Waste Management,20,B5.1,7,A9 + B5.16,4,A9,2,A9 + B5.1,2,action_type: Operate/Maintain Existing → B5.1
DOE,Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Land Development - Other; Manufacturing; Research and Development,20,B1.31,10,B3.6,2,A1 + A11 + A9 + B3.6,2,A9 + B3.6 + B5.1,2,action_type: Operate/Maintain Existing → B1.31
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Energy Storage; Renewable Energy Production - Solar; Research and Development; Waste Management,20,B3.6,5,A9 + B3.6,5,A9 + B3.6 + B5.15,2,A9 + B1.31 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,"Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Water and Waste Management",Military and Defense; Nuclear Technology; Research and Development; Waste Management,20,B3.6,11,B1.2,2,B1.28,1,B3.1,1,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Electricity Transmission; Renewable Energy Production - Energy Storage; Research and Development,20,B3.6,4,A11 + A9,2,A1 + A9 + B3.6,2,B5.1 + B5.15,2,action_type: Operate/Maintain Existing → B3.6
DOE,Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies,"Laws, Policies, Regulations, and Guidance; Manufacturing; Research and Development",20,A11 + A9,14,A11 + A8 + A9,3,A11,1,A5 + A6,1,action_type: Operate/Maintain Existing → A11 + A9
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Nuclear Technology; Research and Development; Waste Management; Water Resources - Other,20,B3.6,10,B1.31,3,B1.31 + B3.6,2,B1.15,1,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Technology and Data Management,High Performance Computing and Advanced Computer Hardware and Software; Nuclear Technology; Research and Development,20,B3.6,11,B1.31,5,A1 + A9 + B3.6,2,B1.2,1,action_type: Operate/Maintain Existing → B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Nuclear Technology; Surface Transportation - Other; Waste Management,20,B1.30,14,B1.28 + B1.30,2,B2.4 + B3.6,1,B2.2,1,action_type: Operate/Maintain Existing → B1.30
DOE,Energy Production and Management; Environmental Policy and Regulation; Miscellaneous and Emerging Technologies; Water and Waste Management,"Laws, Policies, Regulations, and Guidance; Renewable Energy Production - Other; Research and Development; Waste Management",20,A11 + A9 + B5.1,9,A11 + A9,5,A1 + A11 + A9,3,A9,2,action_type: Operate/Maintain Existing → A11 + A9 + B5.1
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Research and Development; Waste Management; Water Resources - Other,20,B3.6,4,B3.1,2,A11 + A9 + B3.6,2,A1 + A11 + A9,2,action_type: Operate/Maintain Existing → B3.6
