ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
516 DM 11.9 B,"516 DM 11.9 BLM NEPA Handbook H1790-1, (E-9) Renewals and assignments of leases,","516 DM 11.9 BLM NEPA Handbook H1790-1, (E-9) Renewals and assignments of leases, permits, or rights-of-way where no addi",20,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Broadband; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mi"
516 DM 11.9 I,"516 DM 11.9 I (1), Planned actions in response to wildfires, floods, weather eve","516 DM 11.9 I (1), Planned actions in response to wildfires, floods, weather events, earthquakes, or landslips that thre",20,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management",Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Management Plan; Pipelines; Public and Recreational Land Use; Rangeland Managem
B1.26,B1.26,B1.26,20,DOE,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Manufacturing; Nuclear Technology; Surface Transportation - Other; Utilities (electricity, "
A9 + B3.16 + B3.6,"A9, B3.6, B3.16","A9, B3.6, B3.16",20,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,"Agriculture; Artificial Intelligence and Machine Learning; Data Storage and Data Management; Ecosystem Management and Restoration; High Performance Computing and Advanced Computer Hardware and Software; Laws, Policies, Regulations, and Guidance; Manu"
B1.35,B1.35,B1.35,20,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Water and Waste Management,Conventional Energy Production - Other; Land Development - Other; Manufacturing; Waste Management
B3.1 + B3.2,"B3.1, B3.2","B3.1, B3.2",20,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Aviation - Airports and Air Traffic; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Data Storage and Data Management; Ecosystem Management and Restoration; Electricit
A9 + B1.31 + B3.6,"A9, B3.6, B1.31","A9, B3.6, B1.31",20,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Cybersecurity; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Manufacturing; Mining 
"BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, D. R","BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, D. Rangeland Management 1: Approva","BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, D. Rangeland Management 1: Approval of transfers of grazing preference.",19,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management"
A2,A2,A2,19,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Laws, Policies, Regulations, and Guidance; Manufacturing; Renewable Energy Production - Hydropower; Research and Develo"
B5.15,B5.15,B5.15,19,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Conventional Energy Production - Coal; Conventional Energy Production - Other; Electricity Transmission; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; L
B1.22 + B1.23,"B1.22, B1.23","B1.22, B1.23",19,DOE,No,,No,"Agriculture and Natural Resource Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management","Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management"
B5.18,B5.18,B5.18,19,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Renewable Energy Production - Energy Storage; Renewable Energy Production - Solar; Renewable Energy Production - Wind, Onshore; Research and Development; Uti"
B1.15 + B1.31,"B1.31, B1.15","B1.31, B1.15",19,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban; Manufacturing; Militar
B4.11 + B4.6,"B4.6,B4.11","B4.6,B4.11",19,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Other; Electricity Transmission; Land Development - Other; Nuclear Technology; Research and Development; Utilities (electricity, gas, telecommunications); Vegetation and Fuels Management; Waste Management; Water Resou"
516 DM 11.9.J,"516 DM 11.9.J(10), Removal of structures and materials of no historic value, suc","516 DM 11.9.J(10), Removal of structures and materials of no historic value, such as abandoned automobiles, fences, and ",18,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Urban; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Metals; Public and Recreational Land Use; Rangeland Management; Researc"
516 DM 11.9.D,"516 DM 11.9.D(1), Approval of transfers of grazing preference.","516 DM 11.9.D(1), Approval of transfers of grazing preference.",18,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
516 DM 11.9.F,"516 DM 11.9.F(10), Disposal of mineral materials such as sand, stone, gravel, pu","516 DM 11.9.F(10), Disposal of mineral materials such as sand, stone, gravel, pumice, pumicite, cinders, and clay, in am",18,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic Minerals; Public and Recreational Land Use; Research and Development; Surface Transportation - Other; Vegetation and Fuels Manag
A11 + B5.1,"A11, B5.1","A11, B5.1",18,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Agriculture; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Manufacturing; Public and Recreational Land Use; R"
A9 + B5.1 + B5.16,"A9, B5.1, B5.16","A9, B5.1, B5.16",18,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Electricity Transmission; Land Development - Housing; Land Development - Other; Public and Recreational Land Use; Renewable Energy Production - Energy Storage; Renewable Energy Production - Solar; Researc
B1.32 + B5.1,"B1.32, B5.1","B1.32, B5.1",18,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Renewable Energy Produc"
B5.12,B5.12,B5.12,18,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Research and Development; Routine Maintenance; Waste Management; Water Resources - Other
A1 + A9 + B2.5 + B5.1,"A1, A9, B2.5, B5.1","A1, A9, B2.5, B5.1",18,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,"Aviation - Airports and Air Traffic; Broadband; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Housing; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use;"
A1 + B3.6,"A1, B3.6","A1, B3.6",18,DOE,No,,No,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Produ
BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4 ,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4 CXAP4 11, BLM - Emergency Stab","BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4 CXAP4 11, BLM - Emergency Stabilization Planned actions in response to",17,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and In",Agriculture; Aviation - Airports and Air Traffic; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Management Plan; Military and Defense; Mining - Non-Metall
B6.10,B6.10,B6.10,17,DOE,No,,No,"Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management","Data Storage and Data Management; Electricity Transmission; Land Development - Other; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management"
A9 + B3.1 + B5.1,"A9, B3.1, B5.1","A9, B3.1, B5.1",17,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Agriculture; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Pipelines; Ports and Waterways; Public and Recreational Land Use; Renewable Energy Production - Biomass; R
B1.3 + B2.5,"B2.5, B1.3","B2.5, B1.3",17,DOE,No,,No,"Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastruc","Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Electricity Transmission; Emergency and Disaster Response; Laws, Policies, Regulations, and Guidance; Manufacturing; Nuclear Technology; Public and Recreat"
B1.24 + B3.6,"B3.6, B1.24","B3.6, B1.24",17,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Agriculture; Artificial Intelligence and Machine Learning; Broadband; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; High Performance Computing and Advanced Computer Hardware and Software; Land Development 
A1 + A11 + A9 + B1.32 + B5.1,"A1, A9, A11, B1.32, B5.1","A1, A9, A11, B1.32, B5.1",17,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,"Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Data Storage and Data Management; Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Laws,"
"516 Departmental Manual (DM) 516 11.9, E. Realty, ","516 Departmental Manual (DM) 516 11.9, E. Realty, subpart “(9) Renewals and assi","516 Departmental Manual (DM) 516 11.9, E. Realty, subpart “(9) Renewals and assignments of leases, permits, or rights-of",16,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Broadband; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Pipelines; Public and Recreational Land Us"
516 DM 11.5.H,"516 DM 11.5.H(1), Issuance of special recreation permits for day use or overnigh","516 DM 11.5.H(1), Issuance of special recreation permits for day use or overnight use up to 14 consecutive days; that im",16,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Surface Transportation - Other; Threatened and Endangered Species Managem"
516 DM 11.9.H.1,"516 DM 11.9.H.1, Issuance of Special Recreation Permits for day use or overnight","516 DM 11.9.H.1, Issuance of Special Recreation Permits for day use or overnight use up to 14 consecutive nights, that i",16,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Metals; Public and Recreational Land Use; Surface Transportation - Other; Threatened and Endangered Species Management; Wast"
516 DM 2 11.9,"516 DM 2 11.9 (H) (1.), Issuance of Special Recreation Permits for day use or ov","516 DM 2 11.9 (H) (1.), Issuance of Special Recreation Permits for day use or overnight use up to 14 consecutive nights;",16,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Water and Waste Management,"Ecosystem Management and Restoration; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Renewable Energy Production - Solar; Threatened and Endangered Species Manage"
B6.8,B6.8,B6.8,16,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Land Development - Other; Manufacturing; Nuclear Technology; Research and Development; Vegetation and Fuels Management; Waste Management; Water Resources - Other
B1.15 + B1.23,"B1.15, B1.23","B1.15, B1.23",16,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;",Artificial Intelligence and Machine Learning; Land Development - Other; Land Development - Urban; Manufacturing; Military and Defense; Nuclear Technology; Public and Recreational Land Use; Renewable Energy Production - Energy Storage; Research and De
A9 + B1.31,"A9, B1.31","A9, B1.31",16,DOE,No,,No,"Energy Production and Management; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management",Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Electricity Transmission; Emergency and Disaster Response; Manufacturing; 
A.8,A.8,A.8,16,DOE,No,,No,"Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrast",Broadband; Conventional Energy Production - Land-based Oil & Gas; Cybersecurity; Data Storage and Data Management; Emergency and Disaster Response; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Laws
A1 + A9 + B1.32 + B2.5 + B5.1,"A1, A9, B1.32, B2.5, B5.1","A1, A9, B1.32, B2.5, B5.1",16,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,"Data Storage and Data Management; Electricity Transmission; Land Development - Housing; Land Development - Other; Land Development - Urban; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Us"
A9 + B2.5 + B3.6 + B5.1,"A9,B2.5,B3.6,B5.1","A9,B2.5,B3.6,B5.1",16,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Land Development - Urban; Research and Development; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)"
"United States Department of the Interior Manual, P","United States Department of the Interior Manual, Part 516, Chapter 11, E. Realty","United States Department of the Interior Manual, Part 516, Chapter 11, E. Realty: 19. Issuance of short-term (3 years or",15,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin","Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Military"
516 DM 11.10,"516 DM 11.10, Defense Authorization Act of 2015 Federal Land Policy and Manageme","516 DM 11.10, Defense Authorization Act of 2015 Federal Land Policy and Management Act of 1976 as amended (43 U.S.C. 175",15,BLM,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Agriculture; Broadband; Ecosystem Management and Restoration; Land Development - Other; Land Use or Forest Management Plan; Public and Recreational Land Use; Rangeland Management; Threatened and Endangered Species Management; Utilities (electricity, "
"DOI Departmental Manual Part 516 Chapter 11, E (9)","DOI Departmental Manual Part 516 Chapter 11, E (9)","DOI Departmental Manual Part 516 Chapter 11, E (9)",15,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Broadband; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Other; Pipelines; Public and Recreational Land Use; Surface Transportation - Other; Utilities (electricity, "
"516 Departmental Manual 11.9, D.1., Approval of tr","516 Departmental Manual 11.9, D.1., Approval of transfers of grazing preference","516 Departmental Manual 11.9, D.1., Approval of transfers of grazing preference",15,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management"
A9 + B3.6 + B5.25,"A9, B3.6, B5.25","A9, B3.6, B5.25",15,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; Artificial Intelligence and Machine Learning; Data Storage and Data Management; Ecosystem Management and Restoration; High Performance Computing and Advanced Computer Hardware and Software; Manufacturing; Renewable Energy Production - Bi
B1.16 + B1.23,"B1.16, B1.23","B1.16, B1.23",15,DOE,No,,No,"Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management","Electricity Transmission; Land Development - Other; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other"
B1.15 + B2.2,"B1.15, B2.2","B1.15, B2.2",15,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;",Artificial Intelligence and Machine Learning; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; Electricity Transmission; Land Development - Other; Land D
B3.1 + B3.8,"B3.1, B3.8","B3.1, B3.8",15,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Water and Waste Management,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Ecosystem Management and Restoration; High Performance Computing and Advanced Computer Hardware and Software; Land Use or Forest Management Plan; Nuclear Tec
516 DM 11.9.E.12,"516 DM 11.9.E.12, Grants of right-of-way wholly within the boundaries of other c","516 DM 11.9.E.12, Grants of right-of-way wholly within the boundaries of other compatibly developed rights-of-way.",14,BLM,No,,No,"Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Electricity Transmission; Land Development - Other; Military and Defense; Nuclear Technology; Pipelines; Renewabl
B6.5,B6.5,B6.5,14,DOE,No,,No,"Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management","Data Storage and Data Management; Laws, Policies, Regulations, and Guidance; Manufacturing; Military and Defense; Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other"
B3.14,B3.14,B3.14,14,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Nuclear; Land Development - Other; Land Development - Urban; Nuclear Technology; Public and Recreational Land Use; Renewable Energy Production - Other; Renewable Energy Production - Solar; Research and Development; Ut
B1.33,B1.33,B1.33,14,DOE,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Nuclear Technology; Public and Recreational Land Use; Surface Transportation - Other; Waste"
B2.6,B2.6,B2.6,14,DOE,No,,No,"Energy Production and Management; Environmental Policy and Regulation; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Water and Waste Management","Conventional Energy Production - Land-based Oil & Gas; Laws, Policies, Regulations, and Guidance; Manufacturing; Military and Defense; Nuclear Technology; Research and Development; Waste Management"
B6.3,B6.3,B6.3,14,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Conventional Energy Production - Nuclear; Electricity Transmission; Land Development - Other; Laws, Policies, Regulations, and Guidance; Nuclear Technology; Vegetation and Fuels Management; Waste Management; Water Resources - Other"
B1.24 + B5.1,"B1.24, B5.1","B1.24, B5.1",14,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Materials and Manufacturing; Transportation and Infrastructure; Water and Waste Management,"Agriculture; Conventional Energy Production - Other; Electricity Transmission; Manufacturing; Renewable Energy Production - Biomass; Renewable Energy Production - Hydropower; Renewable Energy Production - Other; Utilities (electricity, gas, telecommu"
B5.6,B5.6,B5.6,14,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management","Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Laws, Policies, Regulations, and Guidance; Threatened and Endangered Species Management; Waste Man"
A11 + A9 + B1.32 + B5.1,"A9, A11, B1.32, B5.1","A9, A11, B1.32, B5.1",14,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Aviation - Airports and Air Traffic; Conventional Energy Production - Other; Land Development - Housing; Land Development - Urban; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Renewable Energy Production - Other; Renew"
B1.32 + B2.5 + B5.1,"B1.32, B2.5, B5.1","B1.32, B2.5, B5.1",14,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Land Development - Urban; Public and Recreational Land Use; Renewable Energy Production - Solar; Research and Development; Surface Transportation - Other; Surface Transportation - Public Transportation; Utilities (electricit
A1 + A9 + B3.6 + B5.1,"A1, A9, B3.6, B5.1","A1, A9, B3.6, B5.1",14,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Land Development - Housing; Land Development - Other; Land Development - Urban; Manufacturing; Pipelines; Renewable Energy Production - Biomass; Renewable 
B1.3 + B2.1,"B1.3, B2.1","B1.3, B2.1",14,DOE,No,,No,Agriculture and Natural Resource Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Development - Other; Land Development - Urban; Nuclear Technology; Routine Maintenance; Surface Transportation - Other; Threatened and Endangered S
"BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, E. R","BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, E. Realty 12: Grants of right-of-w","BLM NEPA Handbook 1790-1: Appendix 4, BLM CX, E. Realty 12: Grants of right-of-way wholly within the boundaries of other",13,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Military and Defense; Pipelines; Surface Transportation -
"DOI Departmental Manual Part 516 Chapter 11, E-9","DOI Departmental Manual Part 516 Chapter 11, E-9","DOI Departmental Manual Part 516 Chapter 11, E-9",13,BLM,No,,No,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Surface Transportation - Other; Utilities (electricity, gas, telecommunica"
